time,acc_x
0.0,-0.0
0.001,-0.0
0.002,-0.0
0.003,-0.0
0.004,-0.0
0.005,-0.0
0.006,-0.0
0.007,-0.0
0.008,-0.0
0.009,-0.0
0.01,-0.0
0.011,-0.0
0.012,-0.0
0.013,-0.0
0.014,-0.0
0.015,-0.0
0.016,-0.0
0.017,-0.0
0.018,-0.0
0.019,-0.0
0.02,-0.0
0.021,0.005058353481333442
0.022,-0.03411972187774649
0.023,-0.00620496813847087
0.024,-0.1073538077494642
0.025,-0.1486397329648546
0.026,-0.0705875131709702
0.027,-0.003711586173189528
0.028,0.0786182759352888
0.029,-0.03342243847812126
0.03,-0.1185576987569749
0.031,-0.006906186288640235
0.032,0.08830093706898369
0.033,0.0782157005330274
0.034,-0.08949127984175179
0.035,0.01993147154596417
0.036,0.08398325283417785
0.037,-0.05896120413663648
0.038,-0.03565865349702428
0.039,0.04495792331112885
0.04,-0.01836836400615323
0.041,-0.04136695692697377
0.042,0.04710484344330088
0.043,0.01172026304995498
0.044,-0.05831417205825956
0.045,0.003586954085475119
0.046,0.07306212044625611
0.047,-0.07699928853799631
0.048,0.02963487935597534
0.049,0.02622804429403149
0.05,-0.0459548334052164
0.051,0.0389037243060341
0.052,0.01771671302952472
0.053,-0.06294319420075206
0.054,-0.006274039050546373
0.055,0.05590186658724698
0.056,-0.05595426566990082
0.057,0.06088540934891312
0.058,-0.04931744221916824
0.059,-0.001087875116780363
0.06,0.06675322813409469
0.061,-0.11319122834976
0.062,0.07484119383315609
0.063,-0.02579057978999706
0.064,-0.007112643085973583
0.065,0.04306646505360903
0.066,-0.0629323128257903
0.067,0.07940954626175643
0.068,-0.04605051060447869
0.069,0.0140369158204251
0.07,0.01812152304406439
0.071,-0.01079678703866441
0.072,0.01891248904136997
0.073,-0.04507795053993389
0.074,0.04372362298473191
0.075,-0.05224650812704751
0.076,0.06461927472094008
0.077,-0.07110319881544401
0.078,0.07849997888342822
0.079,-0.07706152342474104
0.08,0.04658774359978777
0.081,-0.01367118210461295
0.082,-0.03372853623646644
0.083,0.07259750050140627
0.084,-0.06127893377406682
0.085,0.02249427971049003
0.086,-0.01672183808247817
0.087,0.04051588657135452
0.088,-0.04887640687525476
0.089,0.0463817995361323
0.09,-0.03734175380594055
0.091,0.07603436182980297
0.092,-0.09614006072488437
0.093,0.09409862059181255
0.094,-0.05929952788350112
0.095,0.05418192260159917
0.096,-0.04828298723629125
0.097,0.03925118881958556
0.098,-0.05016445329246785
0.099,0.06056106151593765
0.1,-0.0423586386112173
0.101,0.009112729748932001
0.102,0.01183231750134405
0.103,-0.009778278599707122
0.104,-0.005955086728647242
0.105,0.01376923225689146
0.106,-0.00413655457151379
0.107,-0.01104853117656166
0.108,0.04018480809367791
0.109,-0.05777783783183756
0.11,0.07867804725950484
0.111,-0.1027367823833952
0.112,0.05821101873316711
0.113,-0.06761644906179179
0.114,0.02764162682947385
0.115,0.03269071855144375
0.116,-0.08848801340058374
0.117,0.1107013808304708
0.118,-0.1139079435173626
0.119,0.1008399873659558
0.12,-0.0763717409453086
0.121,0.0674094135586386
0.122,-0.0649707494106509
0.123,0.06208517376029601
0.124,0.01068683289672341
0.125,-0.06700267514870381
0.126,0.07899443305617342
0.127,-0.07588863114965941
0.128,0.05802064016109088
0.129,-0.01925011236833343
0.13,-0.02370632920514467
0.131,0.08258466179685366
0.132,-0.1050001579078493
0.133,0.101154126021012
0.134,-0.08370600185045189
0.135,0.05585492915352547
0.136,0.02902383402687213
0.137,-0.09374301922916875
0.138,0.1127218149598957
0.139,-0.02968768043644958
0.14,0.009791181815774687
0.141,0.03631716077819054
0.142,-0.0877103537959606
0.143,0.1083128225813101
0.144,-0.04527105064260043
0.145,-0.0517276044596607
0.146,0.09369756605550683
0.147,-0.06155749913482159
0.148,0.04536701773522356
0.149,-0.02974102333432375
0.15,0.01111935464248467
0.151,0.00204341949041267
0.152,-0.005511495696910506
0.153,-0.001360878784036801
0.154,0.004663648575049689
0.155,0.001797328365067239
0.156,8.81584684364586e-05
0.157,-0.0006841326543949693
0.158,-0.0001291700933748727
0.159,0.0002064665832639774
0.16,0.0001065552126925019
0.161,-7.318350854721845e-05
0.162,-6.161676745619232e-06
0.163,1.163719871318677e-06
0.164,-1.839616611049354e-05
0.165,1.447479859907556e-05
0.166,-4.536087764881304e-06
0.167,-1.272625477193884e-05
0.168,2.855054455684553e-07
0.169,-1.926055049404141e-06
0.17,-2.95057945547938e-06
0.171,-1.514495924481014e-06
0.172,-2.378911655353427e-06
0.173,-1.677682426844699e-06
0.174,-1.729250910287358e-06
0.175,-1.892522760893275e-06
0.176,-1.593873318741203e-06
0.177,-2.05657698340941e-06
0.178,-1.541936604063108e-06
0.179,-1.434267476200728e-06
0.18,-2.931005062488194e-06
0.181,-5.529523444540276e-07
0.182,-2.344710703229558e-06
0.183,-2.859816778480389e-06
0.184,-7.22491641746495e-07
0.185,-1.884805945849769e-06
0.186,-4.351219004512416e-06
0.187,-2.878393258517348e-06
0.188,-2.941949535073338e-06
0.189,-3.691912765976574e-06
0.19,-3.419679412939693e-06
0.191,3.152117715598689e-07
0.192,-3.658661338580393e-06
0.193,-3.110926566122116e-06
0.194,2.373169161282053e-06
0.195,9.365420065574633e-07
0.196,-1.066245264385441e-05
0.197,-9.679535219185242e-06
0.198,1.208177234150378e-05
0.199,8.658533462864551e-06
0.2,-2.568541038990417e-05
0.201,-2.630650343592823e-05
0.202,3.981737338279657e-05
0.203,3.854875775647149e-05
0.204,-7.081458867585642e-05
